CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,PlanDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,PlanDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,PlanDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,PlanDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,PlanDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,PlanDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,PlanDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,PlanDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,PlanDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,PlanDist_19,CounterExamples_20,Specificity_20,PRev_20,Pos_20,VarDist_20,RuleDist_20,PlanDist_20,CounterExamples_21,Specificity_21,PRev_21,Pos_21,VarDist_21,RuleDist_21,PlanDist_21,CounterExamples_22,Specificity_22,PRev_22,Pos_22,VarDist_22,RuleDist_22,PlanDist_22,CounterExamples_23,Specificity_23,PRev_23,Pos_23,VarDist_23,RuleDist_23,PlanDist_23,CounterExamples_24,Specificity_24,PRev_24,Pos_24,VarDist_24,RuleDist_24,PlanDist_24,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,25,5.71429,-1,0,-1,0.571429,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,25,5.71429,-1,0,-1,0.571429,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,25,5.71429,-1,0,-1,0.571429,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,25,5.71429,-1,0,-1,0.571429,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,25,5.71429,-1,0,-1,0.571429,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,25,5.71429,-1,0,-1,0.571429,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,25,5.71429,-1,0,-1,0.571429,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,0,0.428571,0.105263,23,5.375,-1,0,0.0275,0.285714,0,24,5.42857,-1,0,0,0.428571,0.105263,25,5.71429,-1,0,0.0175,0.571429,0.210526,30,5.625,-1,0,0.0175,0.428571,0.210526,34,5.5,-1,0,0,0.571429,0.105263,26,5.42857,-1,0,0,0.428571,0.105263,21,6.5,-1,0,0.015,0.285714,0,31,5.71429,-1,0,0.015,0.571429,0.263158,28,6,-1,0,0,0.428571,0.0526316,26,5.375,-1,0,0,0.428571,0.0526316,31,5.375,-1,0,0,0.428571,0.105263,22,5.42857,-1,0,0,0.428571,0.105263,29,5.14286,-1,0,0,0.285714,0,34,5.42857,-1,0,0,0.428571,0.105263,28,5.42857,-1,0,0.0175,0.428571,0.210526,30,9.3,-1,0,0.00749999,0.714286,0.105263,22,5.71429,-1,0,0,0.571429,0.157895,21,5.42857,-1,0,0.0175,0.428571,0.210526,25,5.33333,-1,0,0,0.285714,0.0526316,27,5.42857,-1,0,0.0175,0.428571,0.210526,30,5.22222,-1,0,0,0.428571,0.105263,27,8,-1,0,0.03,0.571429,0.0526316,23,6.375,-1,0,0,0.428571,0,29,5.71429,-1,0,0.015,0.571429,0.263158,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
38,6.44444,-1,0,-1,0.428571,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,27,8,-1,0,-1,0.571429,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,0,0.285714,0.105263,23,5.375,-1,0,0.0275,0.285714,0,24,5.42857,-1,0,0,0.428571,0.105263,25,5.71429,-1,0,0.0175,0.571429,0.210526,30,5.625,-1,0,0.0175,0.428571,0.210526,34,5.5,-1,0,0,0.571429,0.105263,26,5.42857,-1,0,0,0.428571,0.105263,21,6.5,-1,0,0.015,0.285714,0,31,5.71429,-1,0,0.015,0.571429,0.263158,28,6,-1,0,0,0.428571,0.0526316,26,5.375,-1,0,0,0.428571,0.0526316,31,5.375,-1,0,0,0.428571,0.105263,22,5.42857,-1,0,0,0.428571,0.105263,29,5.14286,-1,0,0,0.285714,0,34,5.42857,-1,0,0,0.428571,0.105263,28,5.42857,-1,0,0.0175,0.428571,0.210526,30,9.3,-1,0,0.00749999,0.714286,0.105263,22,5.71429,-1,0,0,0.571429,0.157895,21,5.42857,-1,0,0.0175,0.428571,0.210526,25,5.33333,-1,0,0,0.285714,0.0526316,27,5.42857,-1,0,0.0175,0.428571,0.210526,30,5.22222,-1,0,0,0.428571,0.105263,28,7.875,-1,0,0,0.428571,0.0526316,23,6.375,-1,0,0,0.428571,0,29,5.71429,-1,0,0.015,0.571429,0.263158,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,28,7.875,-1,0,-1,0.428571,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,28,7.875,-1,0,-1,0.428571,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
39,6.33333,-1,0,-1,0.285714,-1,23,5.375,-1,0,-1,0.285714,-1,24,5.42857,-1,0,-1,0.428571,-1,25,5.71429,-1,0,-1,0.571429,-1,30,5.625,-1,0,-1,0.428571,-1,34,5.5,-1,0,-1,0.571429,-1,26,5.42857,-1,0,-1,0.428571,-1,21,6.5,-1,0,-1,0.285714,-1,31,5.71429,-1,0,-1,0.571429,-1,28,6,-1,0,-1,0.428571,-1,26,5.375,-1,0,-1,0.428571,-1,31,5.375,-1,0,-1,0.428571,-1,22,5.42857,-1,0,-1,0.428571,-1,29,5.14286,-1,0,-1,0.285714,-1,34,5.42857,-1,0,-1,0.428571,-1,28,5.42857,-1,0,-1,0.428571,-1,30,9.3,-1,0,-1,0.714286,-1,22,5.71429,-1,0,-1,0.571429,-1,21,5.42857,-1,0,-1,0.428571,-1,25,5.33333,-1,0,-1,0.285714,-1,27,5.42857,-1,0,-1,0.428571,-1,30,5.22222,-1,0,-1,0.428571,-1,28,7.875,-1,0,-1,0.428571,-1,23,6.375,-1,0,-1,0.428571,-1,29,5.71429,-1,0,-1,0.571429,-1,
