CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,
21,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,27,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,26,6.77778,-1,0,-1,20.0909,23,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,23,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,22,20.7778,-1,0,-1,31.1818,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,21,18.6,-1,0,-1,21.4545,
21,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,27,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,26,6.77778,-1,0,-1,20.0909,23,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,23,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
21,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,27,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,26,6.77778,-1,0,-1,20.0909,23,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,23,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
21,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,27,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,26,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
21,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,27,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,26,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
21,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,27,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,26,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
21,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,26,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,28,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,27,13.2,-1,0,-1,16.5455,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,28,10.1,-1,0,-1,14.0909,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,24,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,28,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,23,22.1,-1,0,-1,24.6364,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,24,19.2,-1,0,-1,22,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,25,16.1,-1,0,-1,19.1818,29,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,21,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,25,16.1,-1,0,-1,19.1818,30,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,22,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,25,16.1,-1,0,-1,19.1818,30,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,22,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,26,12.7,-1,0,-1,16.0909,30,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,22,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,26,12.7,-1,0,-1,16.0909,30,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,22,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,26,12.7,-1,0,-1,16.0909,30,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
22,18.8,-1,0,-1,21.6364,40,20.3636,-1,0,-1,15.4545,29,18.7273,-1,0,-1,13.8182,22,21,-1,0,-1,31.3636,23,28.5455,-1,0,-1,23.6364,29,18.2,-1,0,-1,21.0909,27,13,-1,0,-1,16.7273,27,6.77778,-1,0,-1,20.0909,25,20.6667,-1,0,-1,31.0909,28,14.0909,-1,0,-1,9.18182,24,17.6667,-1,0,-1,28.6364,22,13.5556,-1,0,-1,25.2727,26,15.4,-1,0,-1,18.5455,29,12.1,-1,0,-1,15.5455,23,17.4444,-1,0,-1,28.4545,27,12.7,-1,0,-1,16.0909,30,6.7,-1,0,-1,11,24,28.3,-1,0,-1,30.2727,24,13.7778,-1,0,-1,25.4545,22,19.3636,-1,0,-1,14.4545,
